date,product_id,product,category,quantity_sold,expiry_date,unit_price,discount,discount_price,total,shelf_life,customer_type,payment,holiday,event
31-12-2024,PN001,Apples,Fruits,7,01-01-2025,0.6,25%,0.45,3.15,10,Member,Card,0,1
31-12-2024,PN007,Brussels Sprouts,Vegetables,5,07-01-2025,1.07,0%,1.07,5.35,7,Member,Card,0,1
31-12-2024,PN009,Butter,Dairy,6,05-01-2025,3.99,0%,3.99,23.94,270,Regular,Card,0,1
31-12-2024,PN010,Butter Croissant,Bakery,17,01-01-2025,1.5,25%,1.13,19.21,3,Regular,Card,0,1
31-12-2024,PN013,Carrots,Vegetables,16,01-01-2025,0.13,25%,0.1,1.6,14,Member,Cash,0,1
31-12-2024,PN016,Chicken Breast,Meat,9,05-01-2025,3.99,0%,3.99,35.91,5,Regular,Cash,0,1
31-12-2024,PN026,Lamb,Meat,5,03-01-2025,5,0%,5,25,3,Regular,Card,0,1
31-12-2024,PN030,Onions,Vegetables,17,20-01-2025,0.67,0%,0.67,11.39,20,Regular,Cash,0,1
31-12-2024,PN040,Salami,Meat,5,21-01-2025,1.6,0%,1.6,8,21,Regular,Card,0,1
31-12-2024,PN049,White Wine,Beverages,18,31-12-2026,10.5,0%,10.5,189,730,Regular,Card,0,1
31-12-2024,PN044,Sparkling Wine,Beverages,13,31-12-2025,4.5,0%,4.5,58.5,365,Member,Card,0,1
30-12-2024,PN001,Apples,Fruits,3,09-01-2025,0.6,0%,0.6,1.8,10,Member,Card,0,1
30-12-2024,PN003,Basmati Rice,Staples,13,30-12-2025,1.59,0%,1.59,20.67,365,Regular,Card,0,1
30-12-2024,PN004,Beef,Meat,19,20-01-2025,4.5,0%,4.5,85.5,21,Member,Card,0,1
30-12-2024,PN006,Breakfast Cereals,Staples,14,02-01-2025,1.29,10%,1.16,16.24,365,Regular,Card,0,1
30-12-2024,PN009,Butter,Dairy,19,04-01-2025,3.99,0%,3.99,75.81,270,Regular,Cash,0,1
30-12-2024,PN011,Cabbage,Vegetables,2,02-01-2025,1.29,10%,1.16,2.32,10,Regular,Card,0,1
30-12-2024,PN015,Cheese,Dairy,8,20-01-2025,2.5,0%,2.5,20,21,Regular,Cash,0,1
30-12-2024,PN016,Chicken Breast,Meat,3,31-12-2024,3.99,25%,2.99,8.97,5,Member,Card,0,1
30-12-2024,PN023,Eggs,Dairy,2,20-01-2025,0.21,0%,0.21,0.42,21,Regular,Cash,0,1
30-12-2024,PN028,Milk,Dairy,5,06-01-2025,1.25,0%,1.25,6.25,7,Member,Cash,0,1
30-12-2024,PN030,Onions,Vegetables,19,19-01-2025,0.67,0%,0.67,12.73,20,Regular,Cash,0,1
30-12-2024,PN036,Pineapple,Fruits,13,06-01-2025,1.19,0%,1.19,15.47,7,Regular,Cash,0,1
30-12-2024,PN039,Red Wine,Beverages,14,30-12-2027,10.5,0%,10.5,147,1095,Regular,Cash,0,1
30-12-2024,PN040,Salami,Meat,2,01-01-2025,1.6,15%,1.36,2.72,21,Member,Card,0,1
30-12-2024,PN041,Salmon Fillets,Seafood,15,03-01-2025,4.25,0%,4.25,63.75,4,Regular,Cash,0,1
30-12-2024,PN043,Soft Drinks,Beverages,9,01-01-2025,3.4,15%,2.89,26.01,240,Member,Cash,0,1
30-12-2024,PN046,Strawberries,Fruits,14,03-01-2025,0.5,0%,0.5,7,4,Regular,Cash,0,1
30-12-2024,PN049,White Wine,Beverages,3,30-12-2026,10.5,0%,10.5,31.5,730,Member,Cash,0,1
29-12-2024,PN002,Bananas,Fruits,11,05-01-2025,0.28,0%,0.28,3.08,7,Regular,Cash,0,1
29-12-2024,PN017,Chocolates,Confectionery,2,29-12-2025,1.75,0%,1.75,3.5,365,Member,Cash,0,1
29-12-2024,PN017,Chocolates,Confectionery,4,30-12-2024,1.75,25%,1.31,5.24,365,Member,Card,0,1
29-12-2024,PN029,Mussels,Seafood,16,13-01-2025,3,0%,3,48,15,Member,Cash,0,1
29-12-2024,PN035,Pepper,Spices,7,30-12-2024,1,25%,0.75,5.25,14,Regular,Card,0,1
29-12-2024,PN039,Red Wine,Beverages,4,29-12-2027,10.5,0%,10.5,42,1095,Member,Card,0,1
29-12-2024,PN040,Salami,Meat,1,01-01-2025,1.6,10%,1.44,1.44,21,Member,Cash,0,1
29-12-2024,PN046,Strawberries,Fruits,12,02-01-2025,0.5,0%,0.5,6,4,Regular,Card,0,1
29-12-2024,PN048,Turkey,Meat,1,30-12-2024,1.99,25%,1.49,1.49,1095,Regular,Card,0,1
28-12-2024,PN004,Beef,Meat,19,02-01-2025,4.5,5%,4.28,81.32,21,Member,Card,0,1
28-12-2024,PN022,Easter Eggs,Confectionery,19,28-12-2025,1.2,0%,1.2,22.8,365,Member,Cash,0,1
28-12-2024,PN024,Guinness,Beverages,17,26-07-2025,4.66,0%,4.66,79.22,210,Member,Card,0,1
28-12-2024,PN031,Orange Juice,Beverages,5,29-12-2024,2.5,25%,1.88,9.4,14,Regular,Card,0,1
28-12-2024,PN033,Oysters,Seafood,9,12-01-2025,3.99,0%,3.99,35.91,15,Member,Cash,0,1
28-12-2024,PN033,Oysters,Seafood,16,12-01-2025,3.99,0%,3.99,63.84,15,Regular,Card,0,1
28-12-2024,PN039,Red Wine,Beverages,15,28-12-2024,10.5,30%,7.35,110.25,1095,Member,Card,0,1
28-12-2024,PN043,Soft Drinks,Beverages,8,02-01-2025,3.4,5%,3.23,25.84,240,Member,Cash,0,1
28-12-2024,PN043,Soft Drinks,Beverages,14,29-12-2024,3.4,25%,2.55,35.7,240,Member,Cash,0,1
27-12-2024,PN004,Beef,Meat,7,17-01-2025,4.5,0%,4.5,31.5,21,Member,Cash,0,1
27-12-2024,PN009,Butter,Dairy,3,27-12-2024,3.99,30%,2.79,8.37,270,Regular,Card,0,1
27-12-2024,PN013,Carrots,Vegetables,8,10-01-2025,0.13,0%,0.13,1.04,14,Member,Cash,0,1
27-12-2024,PN017,Chocolates,Confectionery,7,27-12-2025,1.75,0%,1.75,12.25,365,Member,Card,0,1
27-12-2024,PN023,Eggs,Dairy,16,17-01-2025,0.21,0%,0.21,3.36,21,Regular,Card,0,1
27-12-2024,PN024,Guinness,Beverages,3,25-07-2025,4.66,0%,4.66,13.98,210,Regular,Card,0,1
27-12-2024,PN027,Lettuce,Vegetables,8,28-12-2024,1.15,25%,0.86,6.88,5,Member,Card,0,1
27-12-2024,PN035,Pepper,Spices,14,10-01-2025,1,0%,1,14,14,Regular,Cash,0,1
27-12-2024,PN048,Turkey,Meat,15,10-01-2025,1.99,0%,1.99,29.85,14,Member,Card,0,1
