date,product_id,product,category,quantity_sold,expiry_date,unit_price,discount,discount_price,shelf_life,holiday,event,event_name
31-12-2024,PN001,Apples,Fruits,7,01-01-2025,0.6,25%,0.45,10,0,1,Galway Christmas Market
31-12-2024,PN001,Apples,Fruits,7,01-01-2025,0.6,25%,0.45,10,0,1,New Year’s Eve Galway
31-12-2024,PN007,Brussels Sprouts,Vegetables,5,07-01-2025,1.07,0%,1.07,7,0,1,Galway Christmas Market
31-12-2024,PN007,Brussels Sprouts,Vegetables,5,07-01-2025,1.07,0%,1.07,7,0,1,New Year’s Eve Galway
31-12-2024,PN009,Butter,Dairy,6,05-01-2025,3.99,0%,3.99,270,0,1,Galway Christmas Market
31-12-2024,PN009,Butter,Dairy,6,05-01-2025,3.99,0%,3.99,270,0,1,New Year’s Eve Galway
31-12-2024,PN010,Butter Croissant,Bakery,17,01-01-2025,1.5,25%,1.13,3,0,1,Galway Christmas Market
31-12-2024,PN010,Butter Croissant,Bakery,17,01-01-2025,1.5,25%,1.13,3,0,1,New Year’s Eve Galway
31-12-2024,PN013,Carrots,Vegetables,16,01-01-2025,0.13,25%,0.1,14,0,1,Galway Christmas Market
31-12-2024,PN013,Carrots,Vegetables,16,01-01-2025,0.13,25%,0.1,14,0,1,New Year’s Eve Galway
31-12-2024,PN016,Chicken Breast,Meat,9,05-01-2025,3.99,0%,3.99,5,0,1,Galway Christmas Market
31-12-2024,PN016,Chicken Breast,Meat,9,05-01-2025,3.99,0%,3.99,5,0,1,New Year’s Eve Galway
31-12-2024,PN026,Lamb,Meat,5,03-01-2025,5.0,0%,5.0,3,0,1,Galway Christmas Market
31-12-2024,PN026,Lamb,Meat,5,03-01-2025,5.0,0%,5.0,3,0,1,New Year’s Eve Galway
31-12-2024,PN030,Onions,Vegetables,17,20-01-2025,0.67,0%,0.67,20,0,1,Galway Christmas Market
31-12-2024,PN030,Onions,Vegetables,17,20-01-2025,0.67,0%,0.67,20,0,1,New Year’s Eve Galway
31-12-2024,PN040,Salami,Meat,5,21-01-2025,1.6,0%,1.6,21,0,1,Galway Christmas Market
31-12-2024,PN040,Salami,Meat,5,21-01-2025,1.6,0%,1.6,21,0,1,New Year’s Eve Galway
31-12-2024,PN049,White Wine,Beverages,18,31-12-2026,10.5,0%,10.5,730,0,1,Galway Christmas Market
31-12-2024,PN049,White Wine,Beverages,18,31-12-2026,10.5,0%,10.5,730,0,1,New Year’s Eve Galway
31-12-2024,PN044,Sparkling Wine,Beverages,13,31-12-2025,4.5,0%,4.5,365,0,1,Galway Christmas Market
31-12-2024,PN044,Sparkling Wine,Beverages,13,31-12-2025,4.5,0%,4.5,365,0,1,New Year’s Eve Galway
30-12-2024,PN001,Apples,Fruits,3,09-01-2025,0.6,0%,0.6,10,0,1,Galway Christmas Market
30-12-2024,PN003,Basmati Rice,Staples,13,30-12-2025,1.59,0%,1.59,365,0,1,Galway Christmas Market
30-12-2024,PN004,Beef,Meat,19,20-01-2025,4.5,0%,4.5,21,0,1,Galway Christmas Market
30-12-2024,PN006,Breakfast Cereals,Staples,14,02-01-2025,1.29,10%,1.16,365,0,1,Galway Christmas Market
30-12-2024,PN009,Butter,Dairy,19,04-01-2025,3.99,0%,3.99,270,0,1,Galway Christmas Market
30-12-2024,PN011,Cabbage,Vegetables,2,02-01-2025,1.29,10%,1.16,10,0,1,Galway Christmas Market
30-12-2024,PN015,Cheese,Dairy,8,20-01-2025,2.5,0%,2.5,21,0,1,Galway Christmas Market
30-12-2024,PN016,Chicken Breast,Meat,3,31-12-2024,3.99,25%,2.99,5,0,1,Galway Christmas Market
30-12-2024,PN023,Eggs,Dairy,2,20-01-2025,0.21,0%,0.21,21,0,1,Galway Christmas Market
30-12-2024,PN028,Milk,Dairy,5,06-01-2025,1.25,0%,1.25,7,0,1,Galway Christmas Market
30-12-2024,PN030,Onions,Vegetables,19,19-01-2025,0.67,0%,0.67,20,0,1,Galway Christmas Market
30-12-2024,PN036,Pineapple,Fruits,13,06-01-2025,1.19,0%,1.19,7,0,1,Galway Christmas Market
30-12-2024,PN039,Red Wine,Beverages,14,30-12-2027,10.5,0%,10.5,1095,0,1,Galway Christmas Market
30-12-2024,PN040,Salami,Meat,2,01-01-2025,1.6,15%,1.36,21,0,1,Galway Christmas Market
30-12-2024,PN041,Salmon Fillets,Seafood,15,03-01-2025,4.25,0%,4.25,4,0,1,Galway Christmas Market
30-12-2024,PN043,Soft Drinks,Beverages,9,01-01-2025,3.4,15%,2.89,240,0,1,Galway Christmas Market
30-12-2024,PN046,Strawberries,Fruits,14,03-01-2025,0.5,0%,0.5,4,0,1,Galway Christmas Market
30-12-2024,PN049,White Wine,Beverages,3,30-12-2026,10.5,0%,10.5,730,0,1,Galway Christmas Market
29-12-2024,PN002,Bananas,Fruits,11,05-01-2025,0.28,0%,0.28,7,0,1,Galway Christmas Market
29-12-2024,PN017,Chocolates,Confectionery,2,29-12-2025,1.75,0%,1.75,365,0,1,Galway Christmas Market
29-12-2024,PN017,Chocolates,Confectionery,4,30-12-2024,1.75,25%,1.31,365,0,1,Galway Christmas Market
29-12-2024,PN029,Mussels,Seafood,16,13-01-2025,3.0,0%,3.0,15,0,1,Galway Christmas Market
29-12-2024,PN035,Pepper,Spices,7,30-12-2024,1.0,25%,0.75,14,0,1,Galway Christmas Market
29-12-2024,PN039,Red Wine,Beverages,4,29-12-2027,10.5,0%,10.5,1095,0,1,Galway Christmas Market
29-12-2024,PN040,Salami,Meat,1,01-01-2025,1.6,10%,1.44,21,0,1,Galway Christmas Market
29-12-2024,PN046,Strawberries,Fruits,12,02-01-2025,0.5,0%,0.5,4,0,1,Galway Christmas Market
29-12-2024,PN048,Turkey,Meat,1,30-12-2024,1.99,25%,1.49,1095,0,1,Galway Christmas Market
28-12-2024,PN004,Beef,Meat,19,02-01-2025,4.5,5%,4.28,21,0,1,Galway Christmas Market
28-12-2024,PN022,Easter Eggs,Confectionery,19,28-12-2025,1.2,0%,1.2,365,0,1,Galway Christmas Market
28-12-2024,PN024,Guinness,Beverages,17,26-07-2025,4.66,0%,4.66,210,0,1,Galway Christmas Market
28-12-2024,PN031,Orange Juice,Beverages,5,29-12-2024,2.5,25%,1.88,14,0,1,Galway Christmas Market
28-12-2024,PN033,Oysters,Seafood,9,12-01-2025,3.99,0%,3.99,15,0,1,Galway Christmas Market
28-12-2024,PN033,Oysters,Seafood,16,12-01-2025,3.99,0%,3.99,15,0,1,Galway Christmas Market
28-12-2024,PN039,Red Wine,Beverages,15,28-12-2024,10.5,30%,7.35,1095,0,1,Galway Christmas Market
28-12-2024,PN043,Soft Drinks,Beverages,8,02-01-2025,3.4,5%,3.23,240,0,1,Galway Christmas Market
28-12-2024,PN043,Soft Drinks,Beverages,14,29-12-2024,3.4,25%,2.55,240,0,1,Galway Christmas Market
27-12-2024,PN004,Beef,Meat,7,17-01-2025,4.5,0%,4.5,21,0,1,Galway Christmas Market
27-12-2024,PN009,Butter,Dairy,3,27-12-2024,3.99,30%,2.79,270,0,1,Galway Christmas Market
27-12-2024,PN013,Carrots,Vegetables,8,10-01-2025,0.13,0%,0.13,14,0,1,Galway Christmas Market
27-12-2024,PN017,Chocolates,Confectionery,7,27-12-2025,1.75,0%,1.75,365,0,1,Galway Christmas Market
27-12-2024,PN023,Eggs,Dairy,16,17-01-2025,0.21,0%,0.21,21,0,1,Galway Christmas Market
27-12-2024,PN024,Guinness,Beverages,3,25-07-2025,4.66,0%,4.66,210,0,1,Galway Christmas Market
27-12-2024,PN027,Lettuce,Vegetables,8,28-12-2024,1.15,25%,0.86,5,0,1,Galway Christmas Market
27-12-2024,PN035,Pepper,Spices,14,10-01-2025,1.0,0%,1.0,14,0,1,Galway Christmas Market
27-12-2024,PN048,Turkey,Meat,15,10-01-2025,1.99,0%,1.99,14,0,1,Galway Christmas Market
27-12-2024,PN049,White Wine,Beverages,7,27-12-2026,10.5,0%,10.5,730,0,1,Galway Christmas Market
26-12-2024,PN003,Basmati Rice,Staples,7,26-12-2025,1.59,0%,1.59,365,1,1,Galway Christmas Market
26-12-2024,PN003,Basmati Rice,Staples,7,26-12-2025,1.59,0%,1.59,365,1,1,St Stephen’s Day
26-12-2024,PN015,Cheese,Dairy,8,28-12-2024,2.5,15%,2.13,21,1,1,Galway Christmas Market
26-12-2024,PN015,Cheese,Dairy,8,28-12-2024,2.5,15%,2.13,21,1,1,St Stephen’s Day
26-12-2024,PN020,Croissants,Bakery,18,25-01-2025,0.48,0%,0.48,30,1,1,Galway Christmas Market
26-12-2024,PN020,Croissants,Bakery,18,25-01-2025,0.48,0%,0.48,30,1,1,St Stephen’s Day
26-12-2024,PN028,Milk,Dairy,4,02-01-2025,1.25,0%,1.25,7,1,1,Galway Christmas Market
26-12-2024,PN028,Milk,Dairy,4,02-01-2025,1.25,0%,1.25,7,1,1,St Stephen’s Day
26-12-2024,PN032,Oranges,Fruits,15,09-01-2025,0.6,0%,0.6,14,1,1,Galway Christmas Market
26-12-2024,PN032,Oranges,Fruits,15,09-01-2025,0.6,0%,0.6,14,1,1,St Stephen’s Day
26-12-2024,PN032,Oranges,Fruits,19,09-01-2025,0.6,0%,0.6,14,1,1,Galway Christmas Market
26-12-2024,PN032,Oranges,Fruits,19,09-01-2025,0.6,0%,0.6,14,1,1,St Stephen’s Day
26-12-2024,PN041,Salmon Fillets,Seafood,16,30-12-2024,4.25,0%,4.25,4,1,1,Galway Christmas Market
