date,product_id,product,category,quantity_sold,expiry_date,unit_price,discount,discount_price,total,shelf_life,holiday,event,temperature_min,temperature_max,temperature_mean,rain_mm,snowfall_cm
2024-12-31,PN049,White Wine,Beverages,18,31-12-2026,10.5,0%,10.5,189.0,730,0,1,11.1,8.0,27.5,0.0,0.0
2024-12-31,PN040,Salami,Meat,5,21-01-2025,1.6,0%,1.6,8.0,21,0,1,11.1,8.0,27.5,0.0,0.0
2024-12-31,PN030,Onions,Vegetables,17,20-01-2025,0.67,0%,0.67,11.39,20,0,1,11.1,8.0,27.5,0.0,0.0
2024-12-31,PN007,Brussels Sprouts,Vegetables,5,07-01-2025,1.07,0%,1.07,5.35,7,0,1,11.1,8.0,27.5,0.0,0.0
2024-12-31,PN009,Butter,Dairy,6,05-01-2025,3.99,0%,3.99,23.94,270,0,1,11.1,8.0,27.5,0.0,0.0
2024-12-31,PN016,Chicken Breast,Meat,9,05-01-2025,3.99,0%,3.99,35.91,5,0,1,11.1,8.0,27.5,0.0,0.0
2024-12-31,PN026,Lamb,Meat,5,03-01-2025,5.0,0%,5.0,25.0,3,0,1,11.1,8.0,27.5,0.0,0.0
2024-12-31,PN001,Apples,Fruits,7,01-01-2025,0.6,25%,0.45,3.15,10,0,1,11.1,8.0,27.5,0.0,0.0
2024-12-31,PN010,Butter Croissant,Bakery,17,01-01-2025,1.5,25%,1.13,19.21,3,0,1,11.1,8.0,27.5,0.0,0.0
2024-12-31,PN013,Carrots,Vegetables,16,01-01-2025,0.13,25%,0.1,1.6,14,0,1,11.1,8.0,27.5,0.0,0.0
2024-12-30,PN039,Red Wine,Beverages,14,30-12-2027,10.5,0%,10.5,147.0,1095,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN049,White Wine,Beverages,3,30-12-2026,10.5,0%,10.5,31.5,730,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN003,Basmati Rice,Staples,13,30-12-2025,1.59,0%,1.59,20.67,365,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN004,Beef,Meat,19,20-01-2025,4.5,0%,4.5,85.5,21,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN015,Cheese,Dairy,8,20-01-2025,2.5,0%,2.5,20.0,21,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN023,Eggs,Dairy,2,20-01-2025,0.21,0%,0.21,0.42,21,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN030,Onions,Vegetables,19,19-01-2025,0.67,0%,0.67,12.73,20,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN001,Apples,Fruits,3,09-01-2025,0.6,0%,0.6,1.8,10,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN028,Milk,Dairy,5,06-01-2025,1.25,0%,1.25,6.25,7,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN036,Pineapple,Fruits,13,06-01-2025,1.19,0%,1.19,15.47,7,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN009,Butter,Dairy,19,04-01-2025,3.99,0%,3.99,75.81,270,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN041,Salmon Fillets,Seafood,15,03-01-2025,4.25,0%,4.25,63.75,4,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN046,Strawberries,Fruits,14,03-01-2025,0.5,0%,0.5,7.0,4,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN006,Breakfast Cereals,Staples,14,02-01-2025,1.29,10%,1.16,16.24,365,0,0,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN011,Cabbage,Vegetables,2,02-01-2025,1.29,10%,1.16,2.32,10,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN040,Salami,Meat,2,01-01-2025,1.6,15%,1.36,2.72,21,0,1,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN043,Soft Drinks,Beverages,9,01-01-2025,3.4,15%,2.89,26.01,240,1,0,11.0,10.3,0.0,0.0,0.0
2024-12-30,PN016,Chicken Breast,Meat,3,31-12-2024,3.99,25%,2.99,8.97,5,1,1,11.0,10.3,0.0,0.0,0.0
2024-12-29,PN039,Red Wine,Beverages,4,29-12-2027,10.5,0%,10.5,42.0,1095,0,1,10.8,8.4,0.1,0.0,0.0
2024-12-29,PN017,Chocolates,Confectionery,2,29-12-2025,1.75,0%,1.75,3.5,365,0,1,10.8,8.4,0.1,0.0,0.0
2024-12-29,PN029,Mussels,Seafood,16,13-01-2025,3.0,0%,3.0,48.0,15,0,1,10.8,8.4,0.1,0.0,0.0
2024-12-29,PN002,Bananas,Fruits,11,05-01-2025,0.28,0%,0.28,3.08,7,0,1,10.8,8.4,0.1,0.0,0.0
2024-12-29,PN046,Strawberries,Fruits,12,02-01-2025,0.5,0%,0.5,6.0,4,0,1,10.8,8.4,0.1,0.0,0.0
2024-12-29,PN040,Salami,Meat,1,01-01-2025,1.6,10%,1.44,1.44,21,0,1,10.8,8.4,0.1,0.0,0.0
2024-12-29,PN017,Chocolates,Confectionery,4,30-12-2024,1.75,25%,1.31,5.24,365,0,1,10.8,8.4,0.1,0.0,0.0
2024-12-29,PN035,Pepper,Spices,7,30-12-2024,1.0,25%,0.75,5.25,14,0,1,10.8,8.4,0.1,0.0,0.0
2024-12-29,PN048,Turkey,Meat,1,30-12-2024,1.99,25%,1.49,1.49,1095,0,1,10.8,8.4,0.1,0.0,0.0
2024-12-28,PN022,Easter Eggs,Confectionery,19,28-12-2025,1.2,0%,1.2,22.8,365,0,1,10.4,7.3,0.1,0.0,0.0
2024-12-28,PN024,Guinness,Beverages,17,26-07-2025,4.66,0%,4.66,79.22,210,0,1,10.4,7.3,0.1,0.0,0.0
2024-12-28,PN033,Oysters,Seafood,9,12-01-2025,3.99,0%,3.99,35.91,15,0,1,10.4,7.3,0.1,0.0,0.0
2024-12-28,PN033,Oysters,Seafood,16,12-01-2025,3.99,0%,3.99,63.84,15,0,1,10.4,7.3,0.1,0.0,0.0
2024-12-28,PN004,Beef,Meat,19,02-01-2025,4.5,5%,4.28,81.32,21,0,1,10.4,7.3,0.1,0.0,0.0
2024-12-28,PN043,Soft Drinks,Beverages,8,02-01-2025,3.4,5%,3.23,25.84,240,0,0,10.4,7.3,0.1,0.0,0.0
2024-12-28,PN031,Orange Juice,Beverages,5,29-12-2024,2.5,25%,1.88,9.4,14,0,1,10.4,7.3,0.1,0.0,0.0
2024-12-28,PN043,Soft Drinks,Beverages,14,29-12-2024,3.4,25%,2.55,35.7,240,0,0,10.4,7.3,0.1,0.0,0.0
2024-12-28,PN039,Red Wine,Beverages,15,28-12-2024,10.5,30%,7.35,110.25,1095,0,1,10.4,7.3,0.1,0.0,0.0
2024-12-27,PN049,White Wine,Beverages,7,27-12-2026,10.5,0%,10.5,73.5,730,0,1,11.3,8.4,0.0,0.0,0.0
2024-12-27,PN017,Chocolates,Confectionery,7,27-12-2025,1.75,0%,1.75,12.25,365,0,1,11.3,8.4,0.0,0.0,0.0
2024-12-27,PN024,Guinness,Beverages,3,25-07-2025,4.66,0%,4.66,13.98,210,0,1,11.3,8.4,0.0,0.0,0.0
2024-12-27,PN004,Beef,Meat,7,17-01-2025,4.5,0%,4.5,31.5,21,0,1,11.3,8.4,0.0,0.0,0.0
2024-12-27,PN023,Eggs,Dairy,16,17-01-2025,0.21,0%,0.21,3.36,21,0,1,11.3,8.4,0.0,0.0,0.0
2024-12-27,PN013,Carrots,Vegetables,8,10-01-2025,0.13,0%,0.13,1.04,14,0,1,11.3,8.4,0.0,0.0,0.0
2024-12-27,PN035,Pepper,Spices,14,10-01-2025,1.0,0%,1.0,14.0,14,0,1,11.3,8.4,0.0,0.0,0.0
2024-12-27,PN048,Turkey,Meat,15,10-01-2025,1.99,0%,1.99,29.85,14,0,1,11.3,8.4,0.0,0.0,0.0
2024-12-27,PN027,Lettuce,Vegetables,8,28-12-2024,1.15,25%,0.86,6.88,5,0,1,11.3,8.4,0.0,0.0,0.0
2024-12-27,PN009,Butter,Dairy,3,27-12-2024,3.99,30%,2.79,8.37,270,0,1,11.3,8.4,0.0,0.0,0.0
2024-12-26,PN003,Basmati Rice,Staples,7,26-12-2025,1.59,0%,1.59,11.13,365,1,1,11.6,9.8,0.0,0.0,0.0
2024-12-26,PN020,Croissants,Bakery,18,25-01-2025,0.48,0%,0.48,8.64,30,1,1,11.6,9.8,0.0,0.0,0.0
2024-12-26,PN032,Oranges,Fruits,15,09-01-2025,0.6,0%,0.6,9.0,14,1,1,11.6,9.8,0.0,0.0,0.0
2024-12-26,PN032,Oranges,Fruits,19,09-01-2025,0.6,0%,0.6,11.4,14,1,1,11.6,9.8,0.0,0.0,0.0
2024-12-26,PN028,Milk,Dairy,4,02-01-2025,1.25,0%,1.25,5.0,7,1,1,11.6,9.8,0.0,0.0,0.0
2024-12-26,PN041,Salmon Fillets,Seafood,16,30-12-2024,4.25,0%,4.25,68.0,4,1,1,11.6,9.8,0.0,0.0,0.0
2024-12-26,PN015,Cheese,Dairy,8,28-12-2024,2.5,15%,2.13,17.04,21,0,1,11.6,9.8,0.0,0.0,0.0
2024-12-25,PN014,Charcoal,Non-Food,14,25-12-2026,1.75,0%,1.75,24.5,730,1,1,12.2,11.3,0.0,0.0,0.0
2024-12-25,PN003,Basmati Rice,Staples,19,25-12-2025,1.59,0%,1.59,30.21,365,1,1,12.2,11.3,0.0,0.0,0.0
2024-12-25,PN017,Chocolates,Confectionery,4,25-12-2025,1.75,0%,1.75,7.0,365,1,1,12.2,11.3,0.0,0.0,0.0
2024-12-25,PN033,Oysters,Seafood,15,09-01-2025,3.99,0%,3.99,59.85,15,1,1,12.2,11.3,0.0,0.0,0.0
2024-12-25,PN033,Oysters,Seafood,11,09-01-2025,3.99,0%,3.99,43.89,15,1,1,12.2,11.3,0.0,0.0,0.0
2024-12-25,PN005,Bread,Bakery,4,30-12-2024,1.28,0%,1.28,5.12,5,1,1,12.2,11.3,0.0,0.0,0.0
2024-12-25,PN009,Butter,Dairy,1,30-12-2024,3.99,0%,3.99,3.99,270,1,1,12.2,11.3,0.0,0.0,0.0
2024-12-24,PN003,Basmati Rice,Staples,17,24-12-2025,1.59,0%,1.59,27.03,365,0,1,11.9,11.4,0.0,0.0,0.0
2024-12-24,PN008,Burger Patties,Meat,1,24-12-2025,3.0,0%,3.0,3.0,365,0,1,11.9,11.4,0.0,0.0,0.0
2024-12-24,PN034,Pasta,Staples,1,24-12-2025,1.45,0%,1.45,1.45,365,0,1,11.9,11.4,0.0,0.0,0.0
2024-12-24,PN043,Soft Drinks,Beverages,13,21-08-2025,3.4,0%,3.4,44.2,240,0,1,11.9,11.4,0.0,0.0,0.0
2024-12-24,PN001,Apples,Fruits,17,03-01-2025,0.6,0%,0.6,10.2,10,0,1,11.9,11.4,0.0,0.0,0.0
2024-12-24,PN003,Basmati Rice,Staples,4,27-12-2024,1.59,10%,1.43,5.72,365,0,1,11.9,11.4,0.0,0.0,0.0
2024-12-24,PN037,Potatoes,Vegetables,4,26-12-2024,0.46,15%,0.39,1.56,20,0,1,11.9,11.4,0.0,0.0,0.0
2024-12-23,PN014,Charcoal,Non-Food,13,23-12-2026,1.75,0%,1.75,22.75,730,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-23,PN022,Easter Eggs,Confectionery,6,23-12-2025,1.2,0%,1.2,7.2,365,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-23,PN024,Guinness,Beverages,4,21-07-2025,4.66,0%,4.66,18.64,210,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-23,PN040,Salami,Meat,8,13-01-2025,1.6,0%,1.6,12.8,21,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-23,PN032,Oranges,Fruits,18,06-01-2025,0.6,0%,0.6,10.8,14,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-23,PN048,Turkey,Meat,5,06-01-2025,1.99,0%,1.99,9.95,14,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-23,PN025,Ham,Meat,15,02-01-2025,2.99,0%,2.99,44.85,10,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-23,PN025,Ham,Meat,10,02-01-2025,2.99,0%,2.99,29.9,10,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-23,PN007,Brussels Sprouts,Vegetables,11,30-12-2024,1.07,0%,1.07,11.77,7,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-23,PN007,Brussels Sprouts,Vegetables,16,30-12-2024,1.07,0%,1.07,17.12,7,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-23,PN013,Carrots,Vegetables,18,25-12-2024,0.13,15%,0.11,1.98,14,0,1,12.1,4.6,2.4,0.0,0.0
2024-12-22,PN039,Red Wine,Beverages,10,22-12-2027,10.5,0%,10.5,105.0,1095,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-22,PN012,Canned Soup,Staples,20,22-12-2026,2.13,0%,2.13,42.6,730,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-22,PN014,Charcoal,Non-Food,6,22-12-2026,1.75,0%,1.75,10.5,730,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-22,PN014,Charcoal,Non-Food,8,22-12-2026,1.75,0%,1.75,14.0,730,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-22,PN049,White Wine,Beverages,16,22-12-2026,10.5,0%,10.5,168.0,730,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-22,PN019,Coffee,Beverages,4,22-12-2025,3.3,0%,3.3,13.2,365,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-22,PN037,Potatoes,Vegetables,10,11-01-2025,0.46,0%,0.46,4.6,20,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-22,PN046,Strawberries,Fruits,12,26-12-2024,0.5,0%,0.5,6.0,4,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-22,PN015,Cheese,Dairy,6,25-12-2024,2.5,10%,2.25,13.5,21,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-22,PN026,Lamb,Meat,12,25-12-2024,5.0,0%,5.0,60.0,3,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-22,PN032,Oranges,Fruits,3,23-12-2024,0.6,25%,0.45,1.35,14,0,1,8.5,4.4,5.3,0.0,0.0
2024-12-21,PN014,Charcoal,Non-Food,13,21-12-2026,1.75,0%,1.75,22.75,730,0,1,11.9,4.9,9.9,0.0,0.0
2024-12-21,PN031,Orange Juice,Beverages,6,04-01-2025,2.5,0%,2.5,15.0,14,0,1,11.9,4.9,9.9,0.0,0.0
2024-12-21,PN048,Turkey,Meat,7,04-01-2025,1.99,0%,1.99,13.93,14,0,1,11.9,4.9,9.9,0.0,0.0
2024-12-21,PN010,Butter Croissant,Bakery,20,24-12-2024,1.5,0%,1.5,30.0,3,0,1,11.9,4.9,9.9,0.0,0.0
2024-12-21,PN023,Eggs,Dairy,6,23-12-2024,0.21,15%,0.18,1.08,21,0,1,11.9,4.9,9.9,0.0,0.0
2024-12-21,PN028,Milk,Dairy,14,22-12-2024,1.25,25%,0.94,13.16,7,0,1,11.9,4.9,9.9,0.0,0.0
2024-12-21,PN041,Salmon Fillets,Seafood,13,22-12-2024,4.25,25%,3.19,41.47,4,0,1,11.9,4.9,9.9,0.0,0.0
