product,category,expiry_date,shelf_life,remaining_shelf_life,total_quantity,waste_product_quantity,event,date
Salami,Meat,03-01-2024,21,2,17,0,0,01-01-2024
Salami,Meat,03-01-2024,21,2,17,2,0,01-01-2024
Pepper,Spices,03-01-2024,14,0,18,0,0,03-01-2024
Croissants,Bakery,05-01-2024,30,2,3,0,0,03-01-2024
Milk,Dairy,05-01-2024,7,1,10,0,0,04-01-2024
Spinach,Vegetables,05-01-2024,10,0,12,0,0,05-01-2024
Bread,Bakery,06-01-2024,5,5,78,6,0,01-01-2024
Bread,Bakery,06-01-2024,5,5,78,9,0,01-01-2024
Bread,Bakery,06-01-2024,5,5,78,11,0,01-01-2024
Bread,Bakery,06-01-2024,5,5,78,9,0,01-01-2024
Bread,Bakery,06-01-2024,5,5,78,13,0,01-01-2024
Bread,Bakery,06-01-2024,5,5,78,6,0,01-01-2024
Bread,Bakery,06-01-2024,5,5,78,17,0,01-01-2024
Bread,Bakery,06-01-2024,5,5,78,7,0,01-01-2024
Strawberries,Fruits,06-01-2024,4,4,19,0,0,02-01-2024
Butter Croissant,Bakery,07-01-2024,3,3,10,0,0,04-01-2024
Turkey,Meat,07-01-2024,14,5,11,0,0,02-01-2024
Butter Croissant,Bakery,08-01-2024,3,1,10,0,0,07-01-2024
Milk,Dairy,08-01-2024,7,2,140,11,0,06-01-2024
Milk,Dairy,08-01-2024,7,2,140,20,0,06-01-2024
Milk,Dairy,08-01-2024,7,2,140,5,0,06-01-2024
Milk,Dairy,08-01-2024,7,2,140,15,0,06-01-2024
Milk,Dairy,08-01-2024,7,2,140,19,0,06-01-2024
Milk,Dairy,08-01-2024,7,2,140,15,0,06-01-2024
Milk,Dairy,08-01-2024,7,2,140,12,0,06-01-2024
Milk,Dairy,08-01-2024,7,2,140,17,0,06-01-2024
Milk,Dairy,08-01-2024,7,2,140,14,0,06-01-2024
Milk,Dairy,08-01-2024,7,2,140,5,0,06-01-2024
Milk,Dairy,08-01-2024,7,2,140,7,0,06-01-2024
Milk,Dairy,08-01-2024,7,7,140,11,0,01-01-2024
Milk,Dairy,08-01-2024,7,7,140,20,0,01-01-2024
Milk,Dairy,08-01-2024,7,7,140,5,0,01-01-2024
Milk,Dairy,08-01-2024,7,7,140,15,0,01-01-2024
Milk,Dairy,08-01-2024,7,7,140,19,0,01-01-2024
Milk,Dairy,08-01-2024,7,7,140,15,0,01-01-2024
Milk,Dairy,08-01-2024,7,7,140,12,0,01-01-2024
Milk,Dairy,08-01-2024,7,7,140,17,0,01-01-2024
Milk,Dairy,08-01-2024,7,7,140,14,0,01-01-2024
Milk,Dairy,08-01-2024,7,7,140,5,0,01-01-2024
Milk,Dairy,08-01-2024,7,7,140,7,0,01-01-2024
Salmon Fillets,Seafood,08-01-2024,4,1,12,0,0,07-01-2024
Pasta,Staples,08-01-2024,365,3,12,0,0,05-01-2024
Onions,Vegetables,08-01-2024,20,1,10,0,0,07-01-2024
Bread,Bakery,09-01-2024,5,5,4,0,0,04-01-2024
Soft Drinks,Beverages,09-01-2024,240,1,15,0,0,08-01-2024
Oranges,Fruits,09-01-2024,14,0,9,0,0,09-01-2024
Salmon Fillets,Seafood,09-01-2024,4,1,19,0,0,08-01-2024
Onions,Vegetables,09-01-2024,20,2,19,0,0,07-01-2024
Milk,Dairy,10-01-2024,7,7,17,0,0,03-01-2024
Chicken Breast,Meat,10-01-2024,5,5,5,0,0,05-01-2024
Ham,Meat,10-01-2024,10,2,16,0,0,08-01-2024
Lamb,Meat,10-01-2024,3,3,19,0,0,07-01-2024
Butter,Dairy,11-01-2024,270,5,4,0,0,06-01-2024
Cheese,Dairy,11-01-2024,21,5,6,0,0,06-01-2024
Apples,Fruits,11-01-2024,10,3,2,0,0,08-01-2024
Mussels,Seafood,11-01-2024,15,0,3,0,0,11-01-2024
Milk,Dairy,12-01-2024,7,7,14,0,0,05-01-2024
Apples,Fruits,12-01-2024,10,5,15,0,0,07-01-2024
Salmon Fillets,Seafood,12-01-2024,4,0,7,0,0,12-01-2024
Cinnamon,Spices,12-01-2024,730,2,11,0,0,10-01-2024
Cabbage,Vegetables,12-01-2024,10,10,18,0,0,02-01-2024
Bread,Bakery,13-01-2024,5,1,14,0,0,12-01-2024
Butter Croissant,Bakery,13-01-2024,3,3,5,0,0,10-01-2024
Bananas,Fruits,13-01-2024,7,1,24,4,0,12-01-2024
Bananas,Fruits,13-01-2024,7,1,24,20,0,12-01-2024
Bananas,Fruits,13-01-2024,7,7,24,4,0,06-01-2024
Bananas,Fruits,13-01-2024,7,7,24,20,0,06-01-2024
Potatoes,Vegetables,13-01-2024,20,0,8,0,0,13-01-2024
Bananas,Fruits,14-01-2024,7,7,8,0,0,07-01-2024
Chicken Breast,Meat,14-01-2024,5,5,2,0,0,09-01-2024
Lamb,Meat,14-01-2024,3,3,20,0,0,11-01-2024
Brussels Sprouts,Vegetables,14-01-2024,7,7,6,0,0,07-01-2024
Croissants,Bakery,15-01-2024,30,0,4,0,0,15-01-2024
Orange Juice,Beverages,15-01-2024,14,5,12,0,0,10-01-2024
Milk,Dairy,15-01-2024,7,5,13,0,0,10-01-2024
Chicken Breast,Meat,15-01-2024,5,5,5,0,0,10-01-2024
Cabbage,Vegetables,15-01-2024,10,10,9,0,0,05-01-2024
Bread,Bakery,16-01-2024,5,5,17,0,0,11-01-2024
Oranges,Fruits,16-01-2024,14,14,1,0,0,02-01-2024
Strawberries,Fruits,17-01-2024,4,4,2,0,0,13-01-2024
Salami,Meat,17-01-2024,21,1,5,0,0,16-01-2024
Brussels Sprouts,Vegetables,17-01-2024,7,2,7,0,0,15-01-2024
Cabbage,Vegetables,17-01-2024,10,3,8,0,0,14-01-2024
Cucumber,Vegetables,17-01-2024,7,7,11,0,0,10-01-2024
Oysters,Seafood,18-01-2024,15,15,2,0,0,03-01-2024
Pumpkin,Vegetables,18-01-2024,4,4,11,0,0,14-01-2024
Tomatoes,Vegetables,18-01-2024,7,5,9,0,0,13-01-2024
Guinness,Beverages,19-01-2024,210,1,11,0,0,18-01-2024
Carrots,Vegetables,19-01-2024,14,14,9,0,0,05-01-2024
Pumpkin,Vegetables,19-01-2024,4,4,11,0,0,15-01-2024
Tomatoes,Vegetables,19-01-2024,7,7,16,0,0,12-01-2024
Salmon Fillets,Seafood,20-01-2024,4,4,5,0,0,16-01-2024
Orange Juice,Beverages,21-01-2024,14,14,11,0,0,07-01-2024
Chicken Breast,Meat,21-01-2024,5,0,15,0,0,21-01-2024
Salami,Meat,21-01-2024,21,0,6,0,0,21-01-2024
Cabbage,Vegetables,21-01-2024,10,2,30,16,0,19-01-2024
Cabbage,Vegetables,21-01-2024,10,2,30,14,0,19-01-2024
Cabbage,Vegetables,21-01-2024,10,10,30,16,0,11-01-2024
Cabbage,Vegetables,21-01-2024,10,10,30,14,0,11-01-2024
Potatoes,Vegetables,21-01-2024,20,20,13,0,0,01-01-2024
Bread,Bakery,22-01-2024,5,5,17,12,0,17-01-2024
Bread,Bakery,22-01-2024,5,5,17,5,0,17-01-2024
Orange Juice,Beverages,22-01-2024,14,14,4,0,0,08-01-2024
Red Wine,Beverages,22-01-2024,1095,3,7,0,0,19-01-2024
Smoothie,Beverages,22-01-2024,10,10,8,0,0,12-01-2024
Eggs,Dairy,22-01-2024,21,21,68,19,0,01-01-2024
Eggs,Dairy,22-01-2024,21,21,68,16,0,01-01-2024
Eggs,Dairy,22-01-2024,21,21,68,11,0,01-01-2024
Eggs,Dairy,22-01-2024,21,21,68,6,0,01-01-2024
Eggs,Dairy,22-01-2024,21,21,68,5,0,01-01-2024
Eggs,Dairy,22-01-2024,21,21,68,11,0,01-01-2024
Milk,Dairy,22-01-2024,7,7,1,0,0,15-01-2024
Bananas,Fruits,22-01-2024,7,7,9,0,0,15-01-2024
Chicken Breast,Meat,22-01-2024,5,5,3,0,0,17-01-2024
Cucumber,Vegetables,22-01-2024,7,1,19,0,0,21-01-2024
Orange Juice,Beverages,23-01-2024,14,14,19,0,0,09-01-2024
Sparkling Wine,Beverages,23-01-2024,365,5,15,0,0,18-01-2024
Eggs,Dairy,23-01-2024,21,21,2,0,0,02-01-2024
Beef,Meat,23-01-2024,21,1,1,0,0,22-01-2024
Salami,Meat,23-01-2024,21,21,19,0,0,02-01-2024
Salmon Fillets,Seafood,23-01-2024,4,4,1,0,0,19-01-2024
Lettuce,Vegetables,23-01-2024,5,1,9,0,0,22-01-2024
Pumpkin,Vegetables,23-01-2024,4,4,18,0,0,19-01-2024
Apples,Fruits,24-01-2024,10,1,6,0,0,23-01-2024
Carrots,Vegetables,24-01-2024,14,14,16,0,0,10-01-2024
Spinach,Vegetables,24-01-2024,10,10,2,0,0,14-01-2024
Smoothie,Beverages,25-01-2024,10,10,7,0,0,15-01-2024
Butter,Dairy,25-01-2024,270,5,4,0,0,20-01-2024
Apples,Fruits,25-01-2024,10,10,20,0,0,15-01-2024
Salmon Fillets,Seafood,25-01-2024,4,1,13,0,0,24-01-2024
Carrots,Vegetables,25-01-2024,14,14,18,0,0,11-01-2024
Carrots,Vegetables,25-01-2024,14,14,18,4,0,11-01-2024
Apples,Fruits,26-01-2024,10,10,16,0,0,16-01-2024
Pineapple,Fruits,26-01-2024,7,7,14,0,0,19-01-2024
Turkey,Meat,26-01-2024,14,14,9,0,0,12-01-2024
Carrots,Vegetables,26-01-2024,14,2,13,0,0,24-01-2024
Lettuce,Vegetables,26-01-2024,5,5,7,0,0,21-01-2024
Milk,Dairy,27-01-2024,7,7,3,0,0,20-01-2024
Cabbage,Vegetables,27-01-2024,10,2,13,0,0,25-01-2024
Cucumber,Vegetables,27-01-2024,7,0,14,0,0,27-01-2024
Orange Juice,Beverages,28-01-2024,14,5,18,0,0,23-01-2024
Bananas,Fruits,28-01-2024,7,7,15,0,0,21-01-2024
Lamb,Meat,28-01-2024,3,0,16,0,0,28-01-2024
Salami,Meat,28-01-2024,21,5,10,0,0,23-01-2024
Salmon Fillets,Seafood,28-01-2024,4,4,19,0,0,24-01-2024
Potatoes,Vegetables,28-01-2024,20,1,4,0,0,27-01-2024
Eggs,Dairy,29-01-2024,21,21,9,0,0,08-01-2024
Pasta,Staples,29-01-2024,365,1,7,0,0,28-01-2024
Onions,Vegetables,29-01-2024,20,20,11,0,0,09-01-2024
Potatoes,Vegetables,29-01-2024,20,2,16,0,0,27-01-2024
Coffee,Beverages,30-01-2024,365,3,16,0,0,27-01-2024
Orange Juice,Beverages,30-01-2024,14,1,19,0,0,29-01-2024
Chocolates,Confectionery,30-01-2024,365,0,14,0,0,30-01-2024
Cheese,Dairy,30-01-2024,21,21,3,0,0,09-01-2024
Lamb,Meat,30-01-2024,3,3,14,4,0,27-01-2024
Lamb,Meat,30-01-2024,3,3,14,10,0,27-01-2024
Lettuce,Vegetables,30-01-2024,5,5,3,0,0,25-01-2024
Tomatoes,Vegetables,30-01-2024,7,3,8,0,0,27-01-2024
Bread,Bakery,31-01-2024,5,5,9,0,0,26-01-2024
Croissants,Bakery,31-01-2024,30,2,7,0,0,29-01-2024
Chicken Breast,Meat,31-01-2024,5,5,7,0,0,26-01-2024
Cabbage,Vegetables,31-01-2024,10,10,20,0,0,21-01-2024
Potatoes,Vegetables,31-01-2024,20,20,5,0,0,11-01-2024
Butter Croissant,Bakery,01-02-2024,3,3,1,0,0,29-01-2024
Smoothie,Beverages,01-02-2024,10,2,8,0,0,30-01-2024
Bananas,Fruits,01-02-2024,7,5,1,0,0,27-01-2024
Oranges,Fruits,01-02-2024,14,14,7,0,0,18-01-2024
Pasta,Staples,01-02-2024,365,3,12,0,0,29-01-2024
Potatoes,Vegetables,01-02-2024,20,20,8,0,0,12-01-2024
Spinach,Vegetables,01-02-2024,10,0,17,0,0,01-02-2024
Croissants,Bakery,02-02-2024,30,30,14,0,0,03-01-2024
Orange Juice,Beverages,02-02-2024,14,1,23,7,0,01-02-2024
Orange Juice,Beverages,02-02-2024,14,1,23,16,0,01-02-2024
Orange Juice,Beverages,02-02-2024,14,1,23,5,0,01-02-2024
Orange Juice,Beverages,02-02-2024,14,14,23,7,0,19-01-2024
Orange Juice,Beverages,02-02-2024,14,14,23,16,0,19-01-2024
Orange Juice,Beverages,02-02-2024,14,14,23,5,0,19-01-2024
Oranges,Fruits,02-02-2024,14,14,19,0,0,19-01-2024
Lamb,Meat,02-02-2024,3,3,19,0,0,30-01-2024
Cabbage,Vegetables,02-02-2024,10,10,10,0,0,23-01-2024
Milk,Dairy,03-02-2024,7,7,18,0,0,27-01-2024
Apples,Fruits,03-02-2024,10,10,6,0,0,24-01-2024
Strawberries,Fruits,03-02-2024,4,0,10,0,0,03-02-2024
Chicken Breast,Meat,03-02-2024,5,5,8,0,0,29-01-2024
Oysters,Seafood,03-02-2024,15,15,27,10,0,19-01-2024
Oysters,Seafood,03-02-2024,15,15,27,17,0,19-01-2024
